StoreId,Name,Address,City,Latitude,Longitude
2,מרקט אשקלון החאן,הרצל 33,אשקלון,31.6651632,34.5868148
4,אשקלון צפוני,הפנינים 28,אשקלון,31.6652065,34.6009495
6,אשדוד אורגים,האורגים 13,אשדוד,31.8114561,34.6597563
9,היפר רעננה רמה,זרחין 12,רעננה,32.195765,34.8837808
10,כפר סבא,השקמה 21,כפר סבא,32.176305,34.933172
15,היפר נתניה הפלדה,הפלדה 13,נתניה,32.3186905,34.8779491
19,תל מונד,בני דרור 8,תל נונד,32.261756,34.901082
26,מרקט ראש העין יהושע,יהושע בן נון 77,ראש העין,32.1050615,34.94234400000001
33,היפר בית שמש,"שדרות יגאל אלון ,מרכז ביג",בית שמש,31.7564164,34.9902576
37,מרקט אור יהודה,המפעל 13,אור יהודה,32.0342147,34.8500093
41,מרקט אור עקיבא,האילן 2 א.ת צפוני אור עקיבא,אור עקיבא,32.5147063,34.9231816
44,מרקט מעלות תרשיחא,שלמה שרירא 3 מעלות תרשיחא,מעלות,33.0216836,35.2802834
46,רמלה,קלאוזנר 10,רמלה,31.9229092,34.8779067
56,מרקט ערד,התעשיה 60,ערד,31.2472664,35.1999096
57,מרקט בית שאן,א.ת צפוני בית שאן,בית שאן,32.497103,35.497336
59,מרקט קרית גת,אסתר המלכה 19,קרית גת,31.635364,34.771455
60,מרקט אשדוד,השייטים 9,אשדוד,31.800285,34.6415622
62,בסיטי מודיעין,עמק החולה 76,מודיעין,31.8962796,35.0112568
64,סיטי הרצליה ליד הבית,רבי עקיבא 50,הרצליה,32.1535014,34.8496444
67,סיטי חולון,המרגנית 2,חולון,32.0095984,34.7788645
68,מרקט אשקלון ברנע,הודית לייפר מילר 6,אשקלון,31.698584,34.583051
73,קרפור מרקט עתלית,רחוב הרדוף מרכז מסחרי,עתלית,32.691335,34.940421
80,טבעון,"קק""ל 16 קרית טבעון",טבעון,32.7109885,35.1215536
